('Q108941', 'Фишер', 'PERSON')	Pred: ('Q2640102', 'Фишер')
('Q3299316', 'Матросской тишине', 'ORGANIZATION')	Pred: ('Q1707929', 'Донской пескарь')
('Q101886', 'Риббентропа', 'PERSON')	Pred: ('Q1631321', 'Рибадумия')
('Q180589', 'Бориса Джонсона', 'PERSON')	Pred: ('Q1059659', 'Тела Джонсона')
('Q2518691', 'министра обороны', 'PROFESSION')	Pred: ('Q1788820', 'Министерство обороны')
('Q914', 'Волгограде', 'CITY')	Pred: ('Q4122943', 'Волгоград-1')
('Q486839', 'депутат', 'PROFESSION')	Pred: ('Q298659', 'Конкурс')
('Q433067', 'Сомова', 'PERSON')	Pred: ('Q23879539', 'Сомова')
('Q192112', 'Питер Хиггс', 'PERSON')	Pred: ('Q192112', 'Питер Хиггс')
('Q46', 'Европы', 'LOCATION')	Pred: ('Q491', 'Друг')
('Q21', 'Англия', 'COUNTRY')	Pred: ('Q21', 'Англия')
('Q107711', 'пожарных', 'PROFESSION')	Pred: ('Q6498663', 'Пожарные')
('Q57366', 'Эмомали Рахмона', 'PERSON')	Pred: ('Q57366', 'Эмомали Рахмон')
('Q1208997', 'народного артиста', 'AWARD')	Pred: ('Q403569', 'Народная артистка СССР')
('Q2252262', 'рэпер', 'PROFESSION')	Pred: ('Q3528336', 'Верлак')
('Q35637', 'Нобелевской премии мира', 'AWARD')	Pred: ('Q35637', 'Нобелевская премия мира')
('Q4192926', 'Знание\xa0— сила', 'WORK_OF_ART')	Pred: ('Q4192926', 'Знание — сила')
('Q130311', 'Майкла', 'PERSON')	Pred: ('Q1812089', 'Майкла Оливера')
('Q23958341', 'председателем жюри Каннского фестиваля', 'PROFESSION')	Pred: ('Q785043', 'Каннский кинофестиваль 1946')
('Q842386', 'премьер-министр России', 'PROFESSION')	Pred: ('Q13502826', 'Премьер-министр России')
('Q842320', 'мск', 'CITY')	Pred: ('Q4309175', 'Мценск')
('Q13423853', 'Чельберг', 'PERSON')	Pred: ('Q15586440', 'Чельберг')
('Q13203061', 'Айрата Арсланова', 'PERSON')	Pred: ('Q16392996', 'Медея Абрамян')
('Q11223', 'ВВС США', 'ORGANIZATION')	Pred: ('Q11223', 'ВВС США')
('Q878607', 'сирийский', 'NATIONALITY')	Pred: ('Q11950671', 'Сирия I')
('Q43', 'Турции', 'COUNTRY')	Pred: ('Q1461063', 'Футбол в Турции')
('Q2269810', 'здании Синода', 'FACILITY')	Pred: ('Q1389274', 'Нобору Синода')
('Q7358', 'клоуном', 'PROFESSION')	Pred: ('Q5754741', 'Кулеше')
('Q215057', 'Рик Перри', 'PERSON')	Pred: ('Q215057', 'Рик Перри')
('Q104680', 'полковника', 'PROFESSION')	Pred: ('Q3208364', 'Душ полковника')
('Q11746', 'Ухане', 'CITY')	Pred: ('Q2431345', 'Ухане')
('Q15070695', 'Сергей Кузнецов', 'PERSON')	Pred: ('Q4245064', 'Сергей Кузнецов')
('Q12092595', 'улице Челюскинцев', 'FACILITY')	Pred: ('Q4508660', 'Челюскинская')
('Q4359688', 'Песков', 'PERSON')	Pred: ('Q4359696', 'Песков')
('Q159881', 'F-104', 'PRODUCT')	Pred: ('Q4273163', 'М-104')
('Q14379', 'Лаго-Маджоре', 'LOCATION')	Pred: ('Q14379', 'Лаго-Маджоре')
('Q876864', 'редактор', 'PROFESSION')	Pred: ('Q72063', 'Сил')
('Q15332', 'Яблоко', 'ORGANIZATION')	Pred: ('Q89', 'Яблоко')
('Q1723031', 'премьер-министра Португалии', 'PROFESSION')	Pred: ('Q918199', 'Премьер-министр Португалии')
('Q1930187', 'журналистам', 'PROFESSION')	Pred: ('Q667661', 'Реализм')
('Q4376663', 'Спикер Госдумы', 'PROFESSION')	Pred: ('Q19909528', 'Здание Госдумы')
('Q42308', 'Харьковского', 'CITY')	Pred: ('Q4496363', 'Харьковское')
('Q937857', 'футболиста', 'PROFESSION')	Pred: ('Q4332627', 'Около футбола')
('Q1022491', 'Вишнява', 'CITY')	Pred: ('Q954569', 'Вишау')
('Q245068', 'комедиантом', 'PROFESSION')	Pred: ('Q5433371', 'Семья комедиантов')
('Q7325', 'Еврейский', 'NATIONALITY')	Pred: ('Q615948', 'Еврейский')
('Q90153083', 'Абдурахман Мартазанов', 'PERSON')	Pred: ('Q15351916', 'Алшанов рахман')
('Q1524', 'Афин', 'CITY')	Pred: ('Q4072746', 'Афин')
('Q4473274', 'Мусы Джалиля', 'PERSON')	Pred: ('Q326766', 'Муса Джалиль')
('Q77864630', 'Иссахар', 'PERSON')	Pred: ('Q651256', 'Иссахар')
('Q159454', 'Социнтерна', 'ORGANIZATION')	Pred: ('Q159454', 'Социнтерн')
('Q157280', 'Степана Бандеры', 'PERSON')	Pred: ('Q4304254', 'Проспект Степана Бандеры')
('Q13029362', 'улице Солтыса', 'FACILITY')	Pred: ('Q2340684', 'Парк Версаля')
('Q4225413', 'Евгений Коваленко', 'PERSON')	Pred: ('Q4225415', 'Евгений Коваленко')
('Q495430', 'генерального штаба', 'ORGANIZATION')	Pred: ('Q4340309', 'Генерального штаба капитан')
('Q16693024', 'Русская речь', 'ORGANIZATION')	Pred: ('Q4400534', 'Русская речь')
('Q13210767', 'Анатолий Смолин', 'PERSON')	Pred: ('Q4425237', 'Смородинцев Анатолий')
('Q108169', 'римской курии', 'ORGANIZATION')	Pred: ('Q1248970', 'Бревиарий римской истории')
('Q14211', 'Премьер-министр Великобритании', 'PROFESSION')	Pred: ('Q14211', 'Премьер-министр Великобритании')
('Q3665646', 'баскетболист', 'PROFESSION')	Pred: ('Q2887217', 'Женский баскетбол')
('Q30461', 'президент', 'PROFESSION')	Pred: ('Q4214226', 'Караск')
('Q82955', 'политический деятель', 'PROFESSION')	Pred: ('Q11635', 'Театральный деятель')
('Q213660', 'LinkedIn', 'ORGANIZATION')	Pred: ('Q178706', 'Институт')
('Q4313301', 'Народном артисте', 'WORK_OF_ART')	Pred: ('Q4306640', 'Музыкальное сердце театра')
('Q34', 'Шведской', 'COUNTRY')	Pred: ('Q165192', 'Шведы')
('Q1486', 'Буэнос Айресе', 'CITY')	Pred: ('Q1627584', 'Пуэнтесесурес')
('Q56548774', 'улице Лётчиков', 'FACILITY')	Pred: ('Q24084194', 'Улица Пулемётчиков')
('Q649', 'московских', 'CITY')	Pred: ('Q4533089', 'Это все')
('Q75', 'Интернет', 'PRODUCT')	Pred: ('Q75', 'Интернет')
('Q414', 'Аргентину', 'COUNTRY')	Pred: ('Q2365041', 'Аргентинец')
('Q8333', 'ФБР', 'ORGANIZATION')	Pred: ('Q42301907', 'ФБР')
('Q4201410', 'Института археологии РАН', 'ORGANIZATION')	Pred: ('Q4201410', 'Институт археологии РАН')
('Q973587', 'Налоговое управление', 'ORGANIZATION')	Pred: ('Q28671150', 'Становление')
('Q1845', 'Библии', 'WORK_OF_ART')	Pred: ('Q283057', 'Книги Библии')
('Q11746', 'Ухань', 'CITY')	Pred: ('Q11746', 'Ухань')
('Q2807', 'Мадриде', 'CITY')	Pred: ('Q1571776', 'Риме')
('Q176296', 'Верховной Рады', 'ORGANIZATION')	Pred: ('Q326465', 'Верховный Совет')
('Q5466', 'Чувашия', 'STATE_OR_PROVINCE')	Pred: ('Q4517459', 'Чувашия')
('Q56434717', 'Грету Тунберг', 'PERSON')	Pred: ('Q56434717', 'Грета Тунберг')
('Q1922067', 'турецкого лидера', 'PROFESSION')	Pred: ('Q4466092', 'Туркестанский усач')
('Q4222051', 'Владимир Киселёв', 'PERSON')	Pred: ('Q2025641', 'Олег Киселёв')
('Q7358', 'клоуна', 'PROFESSION')	Pred: ('Q4219905', 'Кечут')
('Q2384139', 'институт русского языка имени А.\xa0С.\xa0Пушкина', 'ORGANIZATION')	Pred: ('Q2384139', 'Институт русского языка имени А. С. Пушкина')
('Q649', 'Москву', 'CITY')	Pred: ('Q175117', 'Москва')
('Q35535', 'полиции', 'ORGANIZATION')	Pred: ('Q35535', 'Полиция')
('Q26003', 'Боткинскую', 'PERSON')	Pred: ('Q951539', 'Евгений Боткин')
('Q218295', 'президенту России', 'PROFESSION')	Pred: ('Q218295', 'Президент России')
('Q928', 'Филиппин', 'COUNTRY')	Pred: ('Q279508', 'Филипсталь')
('Q180589', 'Борис Джонсон', 'PERSON')	Pred: ('Q180589', 'Борис Джонсон')
('Q2994387', 'советник', 'PROFESSION')	Pred: ('Q3061599', 'Советник')
('Q1678442', 'Вор', 'WORK_OF_ART')	Pred: ('Q1678442', 'Вор')
('Q6430706', 'критиков', 'PROFESSION')	Pred: ('Q39381749', 'Резов')
('Q132050', 'губернатор', 'PROFESSION')	Pred: ('Q2285706', 'Глава правительства')
('Q121842', 'французского', 'NATIONALITY')	Pred: ('Q150', 'Французский')
('Q2428799', 'российские', 'NATIONALITY')	Pred: ('Q29014670', 'Алексей')
('Q116', 'правительница', 'PROFESSION')	Pred: ('Q4416214', 'Сенница')
('Q15180', 'Союзом польских композиторов', 'ORGANIZATION')	Pred: ('Q2003501', 'Союз Советских композиторов')
('Q624109', 'Ли Чже Ен', 'PERSON')	Pred: ('Q487546', 'Ли Буль')
('Q62018260', 'Государственное училище циркового искусства', 'ORGANIZATION')	Pred: ('Q4525054', 'Школа драматического искусства')
('Q166886', 'герцога', 'PROFESSION')	Pred: ('Q55720', 'Сара герцогиня')
('Q43456', 'советской армии', 'ORGANIZATION')	Pred: ('Q1980955', 'Советской армии')
('Q7615379', 'Стивеном Веббом', 'PERSON')	Pred: ('Q632055', 'Отт Стивен')
('Q2429253', 'Исламское государство', 'ORGANIZATION')	Pred: ('Q4204060', 'Исламское государство')
('Q185351', 'юрист', 'PROFESSION')	Pred: ('Q707748', 'Юридическая помощь')
('Q49542', 'Русского', 'NATIONALITY')	Pred: ('Q2440105', 'Русень')
('Q4467454', 'Вадим Тюльпанов', 'PERSON')	Pred: ('Q4467454', 'Вадим Тюльпанов')
('Q4934', 'Ларри Пейдж', 'PERSON')	Pred: ('Q4934', 'Ларри Пейдж')
('Q176296', 'Верховная Рада', 'ORGANIZATION')	Pred: ('Q176296', 'Верховная Рада')
('Q1980296', 'Иосиф Кобзон', 'PERSON')	Pred: ('Q1980296', 'Иосиф Кобзон')
('Q2961580', 'Таксист', 'PROFESSION')	Pred: ('Q28698824', 'Таксист')
('Q177524', 'Arpanet', 'PRODUCT')	Pred: ('Q40980', 'Ренате')
('Q5481', 'татарский', 'STATE_OR_PROVINCE')	Pred: ('Q4279721', 'Мама татарский')
('Q311723', 'Донни Йен', 'PERSON')	Pred: ('Q311723', 'Донни Йен')
('Q5340', 'Республика Мордовия', 'STATE_OR_PROVINCE')	Pred: ('Q5340', 'Республика Мордовия')
('Q4359688', 'Дмитрий Песков', 'PERSON')	Pred: ('Q4359688', 'Дмитрий Сергеевич Песков')
('Q16', 'Канады', 'COUNTRY')	Pred: ('Q3416010', 'Канадская')
('Q371337', 'Эдуард Назаров', 'PERSON')	Pred: ('Q4312193', 'Эдуард Назаров')
('Q30487', 'горбачевской', 'PERSON')	Pred: ('Q4142828', 'Гольчевская')
('Q24261863', 'Little Big', 'ORGANIZATION')	Pred: ('Q276776', 'Большой Арал')
('Q419', 'Перу', 'COUNTRY')	Pred: ('Q211435', 'Перу')
('Q78515', 'Карл Габсбург-Лотарингский', 'PERSON')	Pred: ('Q78515', 'Карл Габсбург-Лотарингский')
('Q5470', 'Чебоксарском', 'CITY')	Pred: ('Q47486162', 'Чебоксарская волость')
('Q7191', 'Нобелевских премий', 'AWARD')	Pred: ('Q188184', 'Абелевская премия')
('Q918111', 'Час волка', 'WORK_OF_ART')	Pred: ('Q45381', 'Час волка')
('Q1867079', 'Rain & Tears', 'WORK_OF_ART')	Pred: ('Q258110', 'Бет')
('Q4197743', 'игрокам', 'PROFESSION')	Pred: ('Q2299018', 'Вашим')
('Q500253', 'Аэропорт Куала-Лумпур', 'FACILITY')	Pred: ('Q500253', 'Международный аэропорт Куала-Лумпур')
('Q1362', 'Исламабада', 'CITY')	Pred: ('Q10860519', 'История Исламабада')
('Q99', 'Калифорния', 'STATE_OR_PROVINCE')	Pred: ('Q132811', 'Калифорния')
('Q948200', 'Manned Orbiting Laboratory', 'PRODUCT')	Pred: ('Q2473977', 'Реактейбл')
('Q87', 'Александрии', 'CITY')	Pred: ('Q88', 'Александрия')
('Q3594060', 'председатель советов директоров', 'PROFESSION')	Pred: ('Q188628', 'Председатель совета директоров')
('Q30', 'американском', 'COUNTRY')	Pred: ('Q211511', 'Россия-1')
('Q829665', 'Ева', 'PERSON')	Pred: ('Q274381', 'Ева')
('Q64266', 'Иоганна Вильгельма', 'PERSON')	Pred: ('Q551882', 'Вильке Иоганн')
('Q386846', 'Борис Годунов', 'WORK_OF_ART')	Pred: ('Q386846', 'Борис Годунов')
('Q765', 'Дарио Фо', 'PERSON')	Pred: ('Q765', 'Дарио Фо')
('Q170790', 'математика', 'PROFESSION')	Pred: ('Q4284714', 'Математика инков')
('Q3650600', 'Maximum', 'ORGANIZATION')	Pred: ('Q760805', 'Данам')
('Q34713', 'зальцбургского', 'CITY')	Pred: ('Q1449567', 'Мариенбургский договор')
('Q28812422', 'первым вице-президентом республики', 'PROFESSION')	Pred: ('Q3123537', 'Заместитель президента и вице-президент Кении')
('Q855', 'Сталина', 'PERSON')	Pred: ('Q228584', 'Сталина')
('Q245247', 'King’s College London', 'ORGANIZATION')	Pred: ('Q193515', 'Образование Великобритании')
('Q7416', 'Маргарет Тэтчер', 'PERSON')	Pred: ('Q7416', 'Маргарет Тэтчер')
('Q192912', 'Стивен Фрай', 'PERSON')	Pred: ('Q192912', 'Стивен Фрай')
('Q312474', 'А. Г. Николаева', 'PERSON')	Pred: ('Q270460', 'О. В. Розанова')
('Q1124', 'Клинтона', 'PERSON')	Pred: ('Q18637707', 'Клинтон Мата')
('Q18125', 'Манчестере', 'CITY')	Pred: ('Q16674206', 'Манчестер Дик')
('Q173834', 'Олег Попов', 'PERSON')	Pred: ('Q173834', 'Олег Попов')
('Q954855', 'Фергюсоне', 'CITY')	Pred: ('Q954855', 'Фергюсон')
('Q190884', 'Виктор Черномырдин', 'PERSON')	Pred: ('Q190884', 'Виктор Черномырдин')
('Q744183', 'Д’Артаньян', 'PERSON')	Pred: ('Q744183', 'Д’Артаньян')
('Q967070', 'Беркли', 'CITY')	Pred: ('Q484678', 'Беркли')
('Q2945301', 'СИЗО', 'ORGANIZATION')	Pred: ('Q2945301', 'СИЗО')
('Q4187924', 'Заслуженный артист', 'AWARD')	Pred: ('Q4187924', 'Заслуженный артист')
('Q1092499', 'федеральная прокуратура', 'ORGANIZATION')	Pred: ('Q166133', 'Федеральная полиция')
('Q19399742', 'членом Совета Федерации', 'PROFESSION')	Pred: ('Q4516946', 'Члены Совета Федерации')
('Q858', 'Сирию', 'COUNTRY')	Pred: ('Q161443', 'Сириций')
('Q12331010', 'Пародистка', 'PROFESSION')	Pred: ('Q170539', 'Пародистка')
('Q7315', 'П.\xa0И.\xa0Чайковского', 'PERSON')	Pred: ('Q1058102', 'Международный Конкурс им. П. И. Чайковского')
('Q1428575', 'лётчик-космонавт', 'PROFESSION')	Pred: ('Q208187', 'Самолёт-штурмовик')
('Q735015', 'министра обороны США', 'PROFESSION')	Pred: ('Q11209', 'Департамент обороны США')
('Q132050', 'губернатора', 'PROFESSION')	Pred: ('Q2425571', 'Новгородавиа')
('Q18066676', 'Моторолы', 'PERSON')	Pred: ('Q193234', 'Мотороллер')
('Q194084', 'Сестрорецк', 'CITY')	Pred: ('Q4417970', 'Сестрорецк')
('Q1124', 'Билла Клинтона', 'PERSON')	Pred: ('Q1124', 'Билл Клинтон')
('Q3409203', 'президента Греции', 'PROFESSION')	Pred: ('Q3409203', 'Президент Греции')
('Q381002', 'Франcиско Флорес', 'PERSON')	Pred: ('Q503874', 'Франческо Фоскари')
('Q239', 'бельгийской столице', 'CITY')	Pred: ('Q131209', 'Аустрия Вена')
('Q7200', 'Пушкина', 'PERSON')	Pred: ('Q3724775', 'Пушкина')
('Q60995', 'Церкви', 'ORGANIZATION')	Pred: ('Q34651', 'Церкви')
('Q177220', 'певцу', 'PROFESSION')	Pred: ('Q84990', 'Семчена')
('Q51582', 'Уильямом Фридкином', 'PERSON')	Pred: ('Q51582', 'Уильям Фридкин')
('Q18148459', 'Марции Бизоньин', 'PERSON')	Pred: ('Q234392', 'Марш Найо')
('Q176296', 'Верховная Рада Украины', 'ORGANIZATION')	Pred: ('Q176296', 'Верховная Рада Украины')
('Q397', 'латыни', 'LANGUAGE')	Pred: ('Q162064', 'Африканская латынь')
('Q5343', 'Саранске', 'CITY')	Pred: ('Q4408349', 'Саранских')
('Q1400102', 'федерального судью', 'PROFESSION')	Pred: ('Q1725670', 'Канадский судак')
('Q11696', 'президент США', 'PROFESSION')	Pred: ('Q11696', 'Президент США')
('Q18066676', 'Павлов', 'PERSON')	Pred: ('Q4341577', 'Павлов')
('Q840812', 'МХАТ', 'ORGANIZATION')	Pred: ('Q840812', 'МХАТ')
('Q846570', 'американский', 'NATIONALITY')	Pred: ('Q4398274', 'Россия 1-Урал')
('Q215536', 'коммерсантом', 'PROFESSION')	Pred: ('Q48107', 'Пескантина')
('Q4219653', 'Курнеса', 'PERSON')	Pred: ('Q1628606', 'Кобиса')
('Q4374313', 'представителя РФ в ООН', 'PROFESSION')	Pred: ('Q4374313', 'Постоянный представитель РФ при СБ ООН')
('Q30597436', '4:44', 'WORK_OF_ART')	Pred: ('Q30974858', 'Д-4')
('Q116933', 'ВК', 'PRODUCT')	Pred: ('Q7491579', 'АСВК')
('Q4150130', 'Владимир Борисович Гройсман', 'PERSON')	Pred: ('Q4150130', 'Владимир Борисович Гройсман')
('Q5060576', 'Центральную клиническую больницу', 'FACILITY')	Pred: ('Q4502926', 'Центральная клиническая больница')
('Q4186654', 'Эдгард Запашный', 'PERSON')	Pred: ('Q4186654', 'Эдгард Запашный')
('Q1930187', 'журналистки', 'PROFESSION')	Pred: ('Q554626', 'Жарки')
('Q2421902', 'Ведущая', 'PROFESSION')	Pred: ('Q13590141', 'Ведущая')
('Q17318904', 'Надежда Савченко', 'PERSON')	Pred: ('Q17318904', 'Надежда Савченко')
('Q649', 'Москве', 'CITY')	Pred: ('Q175117', 'Москва')
('Q86768', 'Бель-Эйр', 'DISTRICT')	Pred: ('Q86768', 'Бель-Эйр')
('Q228801', 'Колин Маккалоу', 'PERSON')	Pred: ('Q228801', 'Колин Маккалоу')
('Q547896', 'Конвенцией о запрещении разработки, производства, накопления и применения химического оружия и о его уничтожении', 'LAW')	Pred: ('Q4840402', 'Вся правда о лекарствах: мировой заговор фармкомпаний')
('Q329953', 'Northrop Grumman', 'ORGANIZATION')	Pred: ('Q951690', 'Лу Ин')
('Q44806', 'украинский', 'NATIONALITY')	Pred: ('Q15249157', 'Лен украинский')
('Q876402', 'Новый Азербайджан', 'ORGANIZATION')	Pred: ('Q876402', 'Новый Азербайджан')
('Q200885', 'езидки', 'RELIGION')	Pred: ('Q17675910', 'Запасы угля')
('Q931938', 'мвами', 'PROFESSION')	Pred: ('Q418389', 'Ачем')
('Q606465', 'Поющих в терновнике', 'WORK_OF_ART')	Pred: ('Q9262969', 'Поющие в терновнике')
('Q52535', 'Росарио', 'CITY')	Pred: ('Q52535', 'Росарио')
('Q11698', 'конституции США', 'LAW')	Pred: ('Q194907', 'Федеральные суды США')
('Q16533', 'судья', 'PROFESSION')	Pred: ('Q1364957', 'Кен')
('Q560890', 'Казнев', 'PERSON')	Pred: ('Q3387491', 'Казнев')
('Q351014', 'Алексей Кудрин', 'PERSON')	Pred: ('Q351014', 'Алексей Кудрин')
('Q1394', 'Ленинская', 'PERSON')	Pred: ('Q2623829', 'Ленинская')
('Q4150130', 'Володимир Борисович Гройсман', 'PERSON')	Pred: ('Q4150130', 'Владимир Борисович Гройсман')
('Q17', 'парламента Японии', 'ORGANIZATION')	Pred: ('Q202384', 'Парламент Японии')
('Q196469', 'Сретенска', 'CITY')	Pred: ('Q767324', 'Новота')
('Q1602522', 'Геликона', 'ORGANIZATION')	Pred: ('Q1499805', 'Гелоны')
('Q18576582', 'металлург', 'PROFESSION')	Pred: ('Q4277558', 'Малая металлургия')
('Q531949', 'Winnipeg Sun', 'ORGANIZATION')	Pred: ('Q877813', 'Тайпоу')
('Q160390', 'Густаво Дудамель', 'PERSON')	Pred: ('Q160390', 'Густаво Дудамель')
('Q64266', 'Ян Веллен', 'PERSON')	Pred: ('Q572947', 'Ян Меллер')
('Q4024233', '9/11. Расследование с нуля', 'WORK_OF_ART')	Pred: ('Q16682769', 'Октябрь. Сбор картофеля')
('Q65', 'Лос-Анджелесе', 'CITY')	Pred: ('Q318678', 'Лос-Рокес')
('Q18080427', 'За заслуги перед Отечеством» III степени', 'AWARD')	Pred: ('Q1630643', 'Орден «За заслуги перед Отечеством» III степени')
('Q83307', 'министру', 'PROFESSION')	Pred: ('Q4446300', 'Супер президент')
('Q7436', 'Гатчинской', 'CITY')	Pred: ('Q1495089', 'Гаскойн')
('Q25161472', 'Forbes', 'ORGANIZATION')	Pred: ('Q19398', 'Нова')
('Q56326903', 'постпредстве России', 'ORGANIZATION')	Pred: ('Q4376825', 'Президентский совет')
('Q779', 'Коннектикута', 'STATE_OR_PROVINCE')	Pred: ('Q29529315', 'Губернатор Коннектикута')
('Q2252262', 'рэперов', 'PROFESSION')	Pred: ('Q1770', 'Реваль')
('Q2095549', 'лётчицы', 'PROFESSION')	Pred: ('Q18634647', 'Налётова')
('Q7737', 'русс', 'LANGUAGE')	Pred: ('Q1004666', 'Парс')
('Q65151988', 'Саид Гуцериев', 'PERSON')	Pred: ('Q726837', 'Саед')
('Q604940', 'Джеймс Форд', 'PERSON')	Pred: ('Q51329', 'Джеймс Форд')
('Q57410', 'Шимон Перес', 'PERSON')	Pred: ('Q57410', 'Шимон Перес')
('Q40811', 'Сухуми', 'CITY')	Pred: ('Q40811', 'Сухуми')
('Q1037', 'руандийскими', 'COUNTRY')	Pred: ('Q163323', 'Легионы римлян')
('Q37226', 'учитель', 'PROFESSION')	Pred: ('Q3225870', 'Первый учитель')
('Q11739162', 'Киевской администрации', 'ORGANIZATION')	Pred: ('Q1437277', 'Киевский губернатор')
('Q4235481', 'Виталий Григорьевич Костомаров', 'PERSON')	Pred: ('Q4235481', 'Виталий Григорьевич Костомаров')
('Q227', 'Азербайджанской Республики', 'COUNTRY')	Pred: ('Q227', 'Азербайджанская Республика')
('Q26625', 'Марк Энтони', 'PERSON')	Pred: ('Q26625', 'Марк Энтони')
('Q1797162', 'художественный руководитель', 'PROFESSION')	Pred: ('Q2560087', 'Военное искусство')
('Q47213', 'Уоррена Баффета', 'PERSON')	Pred: ('Q3493144', 'Баррет Уоллес')
('Q2396090', 'Чувашском драматическом театре', 'ORGANIZATION')	Pred: ('Q4248852', 'Курский драматический театр')
('Q198306', 'Шилки', 'CITY')	Pred: ('Q28513564', 'Шивки')
('Q732661', 'Питер Капальди', 'PERSON')	Pred: ('Q732661', 'Питер Капальди')
('Q72', 'Цюрихе', 'CITY')	Pred: ('Q13359431', 'Аксеново')
('Q589298', 'главным редактором', 'PROFESSION')	Pred: ('Q876864', 'Главный редактор')
('Q1664804', 'Полиция Малайзии', 'ORGANIZATION')	Pred: ('Q2358481', 'Полиция Болгарии')
('Q37226', 'тренера-преподавателя', 'PROFESSION')	Pred: ('Q488205', 'Автор-исполнитель')
('Q871369', 'Моцартеума', 'ORGANIZATION')	Pred: ('Q695974', 'Моцартеум')
('Q1346215', 'правящей партии', 'ORGANIZATION')	Pred: ('Q76074', 'Правые партии')
('Q38', 'Италии', 'COUNTRY')	Pred: ('Q3617880', 'Италийцы')
('Q1970338', 'Московском драматическом театре им. М. Н. Ермоловой', 'ORGANIZATION')	Pred: ('Q1970338', 'Московский драматический театр имени М. Н. Ермоловой')
('Q184', 'белорусском', 'COUNTRY')	Pred: ('Q3303865', 'Белорусский рок')
('Q904528', 'Альбом года', 'AWARD')	Pred: ('Q4239666', 'Красный альбом')
('Q884', 'Южной Кореи', 'COUNTRY')	Pred: ('Q495348', 'Культура Южной Кореи')
('Q4158546', 'департамента культуры Москвы', 'ORGANIZATION')	Pred: ('Q4478176', 'Устав Москвы')
('Q4086569', 'Дмитрия Бикбаева', 'PERSON')	Pred: ('Q21147071', 'Анастасия Табаева')
('Q155327', 'Генерал-полковник в отставке', 'PROFESSION')	Pred: ('Q152951', 'Генерал-лейтенант в отставке')
('Q753110', 'автор песен', 'PROFESSION')	Pred: ('Q753110', 'Автор песен')
('Q1215884', 'Национальной футбольной лиги США', 'ORGANIZATION')	Pred: ('Q11152', 'Кубок английской футбольной лиги')
('Q1250779', 'Литературный институт', 'ORGANIZATION')	Pred: ('Q4263854', 'Литературный фонд')
('Q458', 'Евросоюза', 'ORGANIZATION')	Pred: ('Q8896', 'Совет Евросоюза')
('Q490', 'миланский', 'CITY')	Pred: ('Q20001112', 'Американская милашка')
('Q52657780', 'Изя', 'PERSON')	Pred: ('Q2366978', 'Изя')
('Q222805', 'Вениньо С. Акино младшего', 'PERSON')	Pred: ('Q213931', 'Андрэ Иог. Антон')
('Q590441', 'бульвара Капуцинов', 'FACILITY')	Pred: ('Q4508590', 'Человек с бульвара КапуциноК')
('Q47541952', 'продюсер', 'PROFESSION')	Pred: ('Q4266531', 'Лонский')
('Q55409490', 'Бриндена', 'PERSON')	Pred: ('Q1638072', 'Торони')
('Q1459658', 'Виктору Януковичу', 'PERSON')	Pred: ('Q18276344', 'Президентство Виктора Януковича')
('Q473984', 'президенту Пакистана', 'PROFESSION')	Pred: ('Q838380', 'Список президентов Ирана')
('Q679817', 'спикером Верховной Рады Украины', 'PROFESSION')	Pred: ('Q13524158', 'Председатель Верховной Рады Украины')
('Q14211', 'премьер-министра Великобритании', 'PROFESSION')	Pred: ('Q697077', 'Министр-президенты Австрии')
('Q1065', 'Организации Объединённых Наций', 'ORGANIZATION')	Pred: ('Q171328', 'Устав Организации Объединённых Наций')
('Q36678', 'Западного берега реки Иордан', 'LOCATION')	Pred: ('Q36678', 'Западный берег реки Иордан')
('Q106685', 'Анджея Вайды', 'PERSON')	Pred: ('Q241335', 'Вайль Лайза')
('Q8274095', 'Хань Гоюй', 'PERSON')	Pred: ('Q8274095', 'Хань Гоюй')
('Q2396186', 'Ленкома', 'ORGANIZATION')	Pred: ('Q3680952', 'Гранулосаркома')
('Q1028181', 'живописца', 'PROFESSION')	Pred: ('Q25185408', 'Рисовка')
('Q1490', 'Токио', 'CITY')	Pred: ('Q856619', 'Токио')
('Q1837906', 'мэром столицы России', 'PROFESSION')	Pred: ('Q4462658', 'Третья столица России')
('Q937857', 'футболист', 'PROFESSION')	Pred: ('Q858496', 'Командный состав')
('Q2747456', 'Принц', 'PROFESSION')	Pred: ('Q16254293', 'Принц')
('Q492468', 'российское', 'NATIONALITY')	Pred: ('Q2041377', 'Российские вина')
('Q4067419', 'Мария Николаевна Антонова', 'PERSON')	Pred: ('Q4067419', 'Мария Николаевна Антонова')
('Q355113', 'Аделину Сотникову', 'PERSON')	Pred: ('Q973246', 'Александру Бурчану')
('Q2', 'Земле', 'LOCATION')	Pred: ('Q1237286', 'Лебес')
('Q1404101', 'действительным членом', 'PROFESSION')	Pred: ('Q4156888', 'Действительные члены')
('Q92631', 'Рэй', 'PERSON')	Pred: ('Q489880', 'Рэй')
('Q4129798', 'Высших курсах сценаристов и режиссёро', 'ORGANIZATION')	Pred: ('Q4129798', 'Высшие курсы сценаристов и режиссёров')
('Q19546', 'Папа римский', 'PROFESSION')	Pred: ('Q19546', 'Папа римский')
('Q212', 'украинских', 'COUNTRY')	Pred: ('Q12164032', 'Украинский историк')
